FID,STATE,FIPS,TRT,TRTKEY,CTTRTKEY,FENAME,COLOR,anglo,asian,hisp,total,vap,black,bh,nanglo,anglovap,hispvap,bhvap,blackvap,asianvap,nanglovap,Shape_Leng,Shape_Ar_1
3597,48,201,452502,3598,201452502,HARRIS,2,291,1359,2084,4912,3627,1224,3252,4621,231,1531,2271,778,1118,3396,4254.302841919999992,1128356.879290000069886
3598,48,201,452601,3599,201452601,HARRIS,2,169,490,1667,4427,2857,2167,3757,4258,114,1082,2392,1343,343,2743,3500.701163870000073,756536.136305999942124
3599,48,201,452602,3600,201452602,HARRIS,2,184,1715,902,3367,2768,623,1478,3183,164,704,1156,489,1455,2604,5785.061617960000149,1869292.484159999992698
3600,48,201,452701,3601,201452701,HARRIS,2,194,1869,1620,4557,3509,893,2485,4363,164,1170,1836,689,1501,3345,5045.267645550000452,1423229.073150000069290
3601,48,201,452702,3602,201452702,HARRIS,2,114,2070,743,3911,3102,1006,1728,3797,104,535,1221,698,1777,2998,5455.419405130000087,1761548.217100000008941
3602,48,201,452703,3603,201452703,HARRIS,2,146,1225,817,3897,2899,1736,2514,3751,121,590,1785,1218,989,2778,4949.041546219999873,1415293.859739999985322
3603,48,201,452801,3604,201452801,HARRIS,2,459,1526,1904,5751,4377,1879,3732,5292,382,1349,2692,1377,1285,3995,5233.369777930000055,1595494.031389999901876
3604,48,201,452802,3605,201452802,HARRIS,2,191,1168,2720,5928,4256,1772,4368,5737,157,1848,2948,1169,1001,4099,4826.591004920000159,1294020.846469999989495
3605,48,201,452900,3606,201452900,HARRIS,2,291,901,2544,4274,3125,512,3011,3983,255,1741,2059,342,751,2870,4853.742144589999953,1310509.890660000033677
3606,48,201,453001,3607,201453001,HARRIS,2,78,364,1664,2455,1778,310,1953,2377,68,1158,1348,205,313,1710,4313.721848879999925,682157.612487999955192
3607,48,201,453002,3608,201453002,HARRIS,2,274,997,3583,5141,3898,290,3830,4867,246,2602,2783,205,839,3652,5858.421246419999989,2047921.973160000052303
3608,48,201,453100,3609,201453100,HARRIS,2,150,540,2678,4304,3096,981,3577,4154,134,1822,2468,689,466,2962,5987.958069409999553,2211848.435190000105649
3609,48,201,453201,3610,201453201,HARRIS,2,137,274,2027,3546,2459,1064,3034,3409,89,1333,2063,755,228,2370,3310.404009230000156,443707.097921999986283
3610,48,201,453202,3611,201453202,HARRIS,2,271,605,2288,4228,3010,1103,3311,3957,231,1453,2213,796,540,2779,4698.368863570000030,1312529.194979999912903
3611,48,201,453300,3612,201453300,HARRIS,2,101,626,1148,3485,2274,1615,2723,3384,88,707,1698,1008,471,2186,6606.877418570000373,2042094.073480000020936
3612,48,201,453401,3613,201453401,HARRIS,2,338,398,1666,3042,2321,614,2258,2704,303,1220,1664,460,321,2018,4179.988831589999791,959997.393950000056066
3613,48,201,453403,3614,201453403,HARRIS,2,109,620,1847,4107,2912,1543,3321,3998,98,1222,2243,1075,523,2814,3610.930261290000090,681451.290906999958679
3614,48,201,453404,3615,201453404,HARRIS,2,271,760,2377,4379,3290,991,3323,4108,244,1725,2415,724,618,3046,6360.045358520000264,1140095.504960000049323
3615,48,201,453405,3616,201453405,HARRIS,2,230,1298,1362,3962,2810,1016,2352,3732,171,927,1619,704,978,2639,4768.483983879999869,1258304.720539999892935
3616,48,201,453501,3617,201453501,HARRIS,2,396,1319,2779,6357,4742,1903,4599,5961,339,1924,3240,1364,1131,4403,6197.576991969999654,1527806.384360000025481
3617,48,201,453502,3618,201453502,HARRIS,2,299,409,2254,3926,2792,971,3191,3627,256,1515,2167,673,346,2536,5117.739536359999875,1303458.298130000010133
3618,48,201,453601,3619,201453601,HARRIS,2,110,300,1115,2161,1602,562,1652,2051,99,757,1168,425,249,1503,4581.474126899999646,1196306.758119999896735
3619,48,201,453603,3620,201453603,HARRIS,2,229,626,1532,3291,2482,934,2412,3062,204,1042,1712,706,547,2278,6937.212880009999935,1367988.003470000112429
3620,48,201,453604,3621,201453604,HARRIS,2,141,647,2589,4147,3182,778,3308,4006,131,1909,2456,581,556,3051,5057.444823789999646,1181563.595660000108182
3621,48,201,453701,3622,201453701,HARRIS,2,283,1044,2363,4531,3390,897,3201,4248,243,1673,2306,659,838,3147,5164.940483719999975,1319204.228949999902397
3622,48,201,453702,3623,201453702,HARRIS,2,218,553,1896,4221,3076,1465,3314,4003,192,1307,2324,1046,457,2884,4189.088406709999617,1006240.910980000044219
3623,48,201,453800,3624,201453800,HARRIS,2,353,480,2055,3668,2726,817,2818,3315,326,1440,1955,545,426,2400,7457.772220810000363,1832451.166870000073686
3624,48,201,453901,3625,201453901,HARRIS,2,284,2555,1466,5961,4507,1660,3093,5677,227,1057,2206,1174,2050,4280,7128.293491379999978,2301759.148020000196993
3625,48,201,453902,3626,201453902,HARRIS,2,303,1118,1892,4140,3212,848,2710,3837,262,1393,1992,614,946,2950,4883.743260350000128,946122.385933000012301
3626,48,201,454000,3627,201454000,HARRIS,2,498,1353,2116,5261,4023,1359,3402,4763,414,1503,2509,1050,1086,3609,6736.264776799999709,2082804.261100000003353
3627,48,201,454100,3628,201454100,HARRIS,2,435,676,1362,3667,2626,1223,2543,3232,361,943,1696,770,558,2265,5631.293414669999947,1733119.148590000113472
3628,48,201,454200,3629,201454200,HARRIS,2,489,300,2360,3977,3027,842,3149,3488,430,1699,2307,640,251,2597,5806.341978679999556,1457453.033929999917746
3629,48,201,454302,3630,201454302,HARRIS,2,1116,1091,3067,6792,5351,1534,4519,5676,969,2338,3421,1153,898,4382,7717.998374220000187,2742376.930379999801517
3630,48,201,454303,3631,201454303,HARRIS,2,433,340,1819,3471,2655,919,2689,3038,380,1322,1985,687,279,2275,4943.138854670000001,1429963.944510000059381
3631,48,201,454304,3632,201454304,HARRIS,2,423,549,988,4830,3385,2930,3837,4407,365,724,2557,1886,447,3020,4594.810433550000198,836558.220365999964997
3632,48,201,454305,3633,201454305,HARRIS,2,453,808,873,4288,3173,2202,3005,3835,377,629,2147,1550,634,2796,5476.169674349999696,1676865.831149999983609
3633,48,201,454400,3634,201454400,HARRIS,2,125,48,303,1046,907,590,859,921,119,252,733,501,43,788,26397.880699599998479,33674887.664999999105930
3634,48,201,454502,3635,201454502,HARRIS,2,1296,804,343,2672,1878,182,516,1376,929,230,350,126,560,949,12276.174682900000334,7546198.555309999734163
3635,48,201,454503,3636,201454503,HARRIS,2,1718,418,310,2575,1979,68,373,857,1342,211,260,50,322,637,5190.456056529999842,1445900.476999999955297
3636,48,201,454504,3637,201454504,HARRIS,2,2876,1317,1078,5913,4344,617,1641,3037,2227,756,1151,432,909,2117,15222.321099900000263,7185517.109600000083447
3637,48,201,454505,3638,201454505,HARRIS,2,1167,977,308,2606,1895,105,401,1439,873,228,288,71,689,1022,8030.498750329999893,3016235.263609999790788
3638,48,201,454600,3639,201454600,HARRIS,2,2500,422,2000,5937,4446,997,2900,3437,1986,1418,2073,709,290,2460,8675.269590149999203,3432062.444930000230670
3639,48,201,454700,3640,201454700,HARRIS,2,4774,589,1016,6910,5257,382,1366,2136,3718,715,972,277,429,1539,7541.794755640000403,3479622.264779999852180
3640,48,201,454801,3641,201454801,HARRIS,2,1553,283,1204,3539,2809,449,1613,1986,1330,869,1184,338,228,1479,5462.649195310000323,1238379.356270000105724
3641,48,201,454802,3642,201454802,HARRIS,2,2203,386,1401,4535,3454,501,1853,2332,1812,976,1277,324,287,1642,5931.945247319999908,1690352.186010000063106
3642,48,201,454901,3643,201454901,HARRIS,2,1640,710,513,3105,2262,201,702,1465,1214,360,495,139,513,1048,4126.386656439999570,1069967.501849999884143
3643,48,201,454902,3644,201454902,HARRIS,2,3449,2173,2139,8752,6296,974,3015,5303,2560,1508,2107,650,1529,3736,7933.841910879999887,3553288.111630000174046
3644,48,201,455000,3645,201455000,HARRIS,2,1557,289,668,2756,2018,184,845,1199,1204,443,559,122,207,814,5412.958645589999833,1305196.567909999983385
3645,48,201,455102,3646,201455102,HARRIS,2,1911,273,764,3235,2433,243,991,1324,1504,526,676,162,189,929,6782.113322109999899,1581989.352650000015274
3646,48,201,455103,3647,201455103,HARRIS,2,1943,220,1304,3857,2922,323,1580,1914,1558,915,1104,212,164,1364,6155.849806060000446,1471667.458949999883771
3647,48,201,455104,3648,201455104,HARRIS,2,1741,130,916,3108,2382,281,1167,1367,1414,651,815,176,93,968,5060.236645220000355,1250467.781160000013188
3648,48,201,455200,3649,201455200,HARRIS,2,2533,221,1246,4431,3415,340,1558,1898,2070,866,1072,224,170,1345,7686.170777919999637,2985297.063670000061393
3649,48,201,455300,3650,201455300,HARRIS,2,3762,1255,5539,12979,9808,2370,7712,9217,3090,4026,5594,1693,937,6718,10429.635132400000657,5335930.659970000386238
3650,48,201,510100,3651,201510100,HARRIS,2,1469,339,732,2849,2530,291,996,1380,1364,600,827,241,297,1166,5249.543142210000042,1447445.509000000078231
3651,48,201,510201,3652,201510201,HARRIS,2,1762,280,659,2972,2739,237,877,1210,1680,569,752,196,260,1059,4935.462937229999625,931082.704183000023477
3652,48,201,510202,3653,201510202,HARRIS,2,2191,771,1053,4494,4059,411,1442,2303,2057,922,1273,368,662,2002,9319.665847450000001,2643776.631000000052154
3653,48,201,510301,3654,201510301,HARRIS,2,1880,176,599,2855,2391,149,732,975,1589,501,606,117,142,802,6699.871567189999951,1460218.964330000104383
3654,48,201,510302,3655,201510302,HARRIS,2,2154,175,416,2868,2137,59,467,714,1625,310,349,44,101,512,4947.520296560000133,926669.127635000040755
3655,48,201,510400,3656,201510400,HARRIS,2,2827,309,824,4173,3282,138,954,1346,2282,647,747,103,194,1000,4966.290557600000284,1480636.017460000002757
3656,48,201,510500,3657,201510500,HARRIS,2,3127,440,764,4675,3975,272,1026,1548,2733,606,830,230,338,1242,5347.735816600000362,1753729.260049999924377
3657,48,201,510601,3658,201510601,HARRIS,2,1621,527,665,3158,2920,309,958,1537,1555,589,854,269,463,1365,3949.802103729999999,890507.033245000056922
3658,48,201,510602,3659,201510602,HARRIS,2,2545,555,916,4380,3950,308,1211,1835,2384,792,1051,270,440,1566,4928.695327759999600,1191095.552390000084415
3659,48,201,510701,3660,201510701,HARRIS,2,1280,302,560,2347,2176,178,720,1067,1229,514,655,159,256,947,3390.506168450000132,575283.490010999958031
3660,48,201,510702,3661,201510702,HARRIS,2,1201,330,305,1956,1699,113,404,755,1089,250,321,78,255,610,3170.176977569999963,510930.563204000005499
3661,48,201,510801,3662,201510801,HARRIS,2,2907,554,676,4404,3868,213,870,1497,2639,542,698,164,453,1229,4567.705141669999648,868193.337441000039689
3662,48,201,510802,3663,201510802,HARRIS,2,1525,219,353,2207,1929,71,411,682,1374,281,328,52,164,555,12352.646200299999691,7202260.298759999684989
3663,48,201,510803,3664,201510803,HARRIS,2,1740,223,314,2444,2259,130,438,704,1643,284,393,113,181,616,6330.961144889999559,842406.904361000051722
3664,48,201,510901,3665,201510901,HARRIS,2,2726,888,1305,5293,4545,329,1607,2567,2443,1060,1307,255,726,2102,6083.525001359999806,1402889.247329999925569
3665,48,201,510902,3666,201510902,HARRIS,2,2236,361,959,3867,3345,274,1213,1631,1965,796,1020,241,310,1380,13473.631932099999176,4042772.626769999973476
3666,48,201,511001,3667,201511001,HARRIS,2,1884,161,691,2962,2423,171,842,1078,1578,518,646,141,129,845,7031.092822589999741,2272867.252150000073016
3667,48,201,511003,3668,201511003,HARRIS,2,1551,137,623,2535,2158,211,812,984,1341,505,673,181,110,817,4287.543887890000406,1062063.559769999934360
3668,48,201,511004,3669,201511004,HARRIS,2,1148,118,410,1764,1479,60,457,616,997,320,359,45,95,482,4862.151720279999608,1048524.004519999958575
3669,48,201,511100,3670,201511100,HARRIS,2,2341,461,927,4100,3494,304,1203,1759,2059,739,980,258,362,1435,7249.202707239999654,1883719.204469999996945
3670,48,201,511201,3671,201511201,HARRIS,2,1855,285,569,2856,2375,111,671,1001,1599,430,515,90,221,776,4937.999860969999645,1109797.895699999993667
3671,48,201,511202,3672,201511202,HARRIS,2,2139,430,755,3575,3088,216,952,1436,1911,610,769,169,348,1177,4019.087690910000219,986245.007575999945402
3672,48,201,511301,3673,201511301,HARRIS,2,2806,271,862,4208,3520,168,1014,1402,2399,687,808,128,200,1121,5458.385882479999964,1801151.105999999912456
3673,48,201,511302,3674,201511302,HARRIS,2,2937,160,675,4012,3348,141,797,1075,2487,538,634,105,118,861,5090.270565720000377,1582727.865059999981895
3674,48,201,511400,3675,201511400,HARRIS,2,1820,120,947,2986,2522,61,996,1166,1586,746,790,52,93,936,5410.281263310000213,1141923.500400000018999
3675,48,201,511501,3676,201511501,HARRIS,2,1989,270,709,3158,2664,135,831,1169,1739,552,657,109,210,925,4454.226323879999654,1239848.208000000100583
3676,48,201,511502,3677,201511502,HARRIS,2,2912,328,1396,4852,3982,178,1543,1940,2459,1102,1223,144,226,1523,5567.774726120000196,1829456.566360000055283
3677,48,201,511600,3678,201511600,HARRIS,2,1262,148,2161,3759,3092,157,2296,2497,1131,1693,1797,115,116,1961,6430.227838419999898,1942279.828770000021905
3678,48,201,520100,3679,201520100,HARRIS,2,1133,304,888,2600,2106,235,1102,1467,950,698,865,180,236,1156,7107.084231200000431,2940546.474280000198632
3679,48,201,520200,3680,201520200,HARRIS,2,1995,349,883,3495,2619,233,1107,1500,1597,593,738,150,252,1022,5563.953843510000297,1875452.233299999963492
3680,48,201,520301,3681,201520301,HARRIS,2,614,162,1064,1976,1577,147,1195,1362,557,774,877,110,130,1020,3270.167324200000166,670783.686580999987200
3681,48,201,520302,3682,201520302,HARRIS,2,769,180,1298,2391,1828,131,1419,1622,678,901,992,101,139,1150,3602.798976030000176,803933.980404000030831
3682,48,201,520400,3683,201520400,HARRIS,2,470,70,2482,3402,2469,388,2845,2932,433,1687,1960,288,51,2036,6596.825716690000263,2035765.093110000016168
3683,48,201,520501,3684,201520501,HARRIS,2,478,69,3000,3641,2613,99,3074,3163,416,2056,2122,81,49,2197,13388.817432100000588,4603978.944240000098944
3684,48,201,520502,3685,201520502,HARRIS,2,397,91,3887,4643,3177,297,4138,4246,338,2574,2760,218,67,2839,10359.378951599999709,2874166.168639999814332
3685,48,201,520601,3686,201520601,HARRIS,2,194,213,1860,2328,1641,56,1898,2134,167,1237,1268,40,187,1474,5672.502043669999694,1957598.483560000080615
3686,48,201,520603,3687,201520603,HARRIS,2,153,21,2027,2463,1679,274,2272,2310,126,1367,1519,174,18,1553,2532.068348469999819,352192.327006999985315
3687,48,201,520604,3688,201520604,HARRIS,2,596,109,2202,3068,2344,141,2322,2472,554,1578,1674,99,84,1790,4018.169476640000084,990088.483257999992929
3688,48,201,520700,3689,201520700,HARRIS,2,2356,667,1261,4429,3075,127,1359,2073,1694,837,909,82,440,1381,6472.291224120000152,1959784.084439999889582
3689,48,201,521000,3690,201521000,HARRIS,2,657,100,1350,2289,1562,184,1524,1632,524,855,965,117,72,1038,5878.304323919999661,1174227.087749999947846
3690,48,201,521100,3691,201521100,HARRIS,2,344,45,1803,2263,1551,91,1863,1919,297,1176,1211,51,38,1254,3706.991277669999818,595661.185343999997713
3691,48,201,521201,3692,201521201,HARRIS,2,301,121,1800,2371,1668,158,1943,2070,264,1203,1306,117,93,1404,2846.173588449999897,479285.303836999984924
3692,48,201,521202,3693,201521202,HARRIS,2,948,287,2448,4003,3164,336,2731,3055,855,1777,2025,279,257,2309,5240.920258660000400,1391841.336200000019744
3693,48,201,521300,3694,201521300,HARRIS,2,1317,621,3676,6033,4565,397,4042,4716,1158,2576,2840,277,508,3407,7510.631571550000444,2948749.014030000194907
3694,48,201,521401,3695,201521401,HARRIS,2,61,15,3355,3497,2175,86,3420,3436,42,2080,2124,54,6,2133,4192.780257680000432,587312.428154999972321
3695,48,201,521402,3696,201521402,HARRIS,2,340,56,3109,3612,2534,83,3169,3272,283,2126,2166,54,50,2251,4653.971403999999893,927142.442760000005364
3696,48,201,521501,3697,201521501,HARRIS,2,308,68,2161,2619,1903,89,2234,2311,269,1524,1573,62,51,1634,3811.382837780000045,494077.545579999976326
3697,48,201,521502,3698,201521502,HARRIS,2,997,184,1587,2917,2354,105,1679,1920,894,1198,1268,77,134,1460,5912.212421899999754,1532199.000290000112727
3698,48,201,521600,3699,201521600,HARRIS,2,380,90,2586,3531,2593,465,3035,3151,337,1805,2166,367,76,2256,12130.154778800000713,6655506.486659999936819
3699,48,201,521701,3700,201521701,HARRIS,2,390,78,2015,3620,2598,1148,3082,3230,337,1374,2132,810,64,2261,12668.584859099999449,4069186.582450000103563
3700,48,201,521702,3701,201521702,HARRIS,2,356,88,2140,3765,2693,1219,3298,3409,300,1445,2316,905,62,2393,5666.313324589999866,1402437.786259999964386
3701,48,201,521800,3702,201521800,HARRIS,2,753,1137,2858,5258,4229,556,3364,4505,663,2159,2583,457,974,3566,11570.510881500000323,7152700.992069999687374
3702,48,201,521900,3703,201521900,HARRIS,2,2500,855,2781,6596,5222,428,3160,4096,2177,1965,2242,307,722,3045,7836.435586890000195,3807373.604410000145435
3703,48,201,522001,3704,201522001,HARRIS,2,931,203,700,2002,1759,160,846,1071,877,559,676,126,184,882,4801.030773030000091,1139094.475490000098944
3704,48,201,522002,3705,201522002,HARRIS,2,527,88,1618,2322,1669,79,1685,1795,450,1090,1137,50,73,1219,4312.746527620000052,903737.635541000054218
3705,48,201,522101,3706,201522101,HARRIS,2,901,255,2031,3549,2649,353,2348,2648,798,1372,1615,266,200,1851,3810.109356330000082,893390.758842000039294
3706,48,201,522102,3707,201522102,HARRIS,2,1215,162,2319,4186,2892,515,2769,2971,1025,1459,1721,282,117,1867,4793.092431150000266,1403247.319420000072569
3707,48,201,522201,3708,201522201,HARRIS,2,886,204,2707,4016,2826,210,2889,3130,732,1769,1899,150,171,2094,7350.939736229999653,1622623.431829999899492
3708,48,201,522202,3709,201522202,HARRIS,2,836,165,2633,3855,2736,217,2800,3019,726,1708,1830,146,133,2010,5253.481520139999702,1761982.130799999926239
3709,48,201,522301,3710,201522301,HARRIS,2,983,243,2324,3792,2861,221,2523,2809,856,1598,1757,178,207,2005,4926.854105579999668,1380783.997320000082254
3710,48,201,522302,3711,201522302,HARRIS,2,868,247,2339,3641,2815,188,2487,2773,744,1702,1828,163,209,2071,4535.847258669999974,1290523.926250000018626
3711,48,201,522401,3712,201522401,HARRIS,2,2081,360,2944,5813,4453,391,3282,3732,1760,2083,2328,285,293,2693,8056.667248540000401,2721740.278729999903589
3712,48,201,522402,3713,201522402,HARRIS,2,1202,148,2273,3781,2675,109,2355,2579,1018,1425,1493,84,110,1657,8054.398261330000423,2884218.788310000207275
3713,48,201,522500,3714,201522500,HARRIS,2,3841,526,518,5045,3640,79,588,1204,2820,328,373,51,362,820,9929.518600190000143,3840477.436350000090897
3714,48,201,530101,3715,201530101,HARRIS,2,881,60,2511,3938,2885,489,2962,3057,762,1705,2053,364,52,2123,4808.146033629999692,883598.501586999977008
3715,48,201,530102,3716,201530102,HARRIS,2,273,43,1194,1690,1237,194,1374,1417,237,816,961,152,36,1000,7774.667249410000295,1714443.765570000046864
3716,48,201,530200,3717,201530200,HARRIS,2,2057,305,1154,3766,2987,179,1305,1709,1737,839,971,143,211,1250,11510.879116899999644,3538234.683749999850988
3717,48,201,530300,3718,201530300,HARRIS,2,390,46,1013,2680,2145,1261,2237,2290,349,716,1745,1050,42,1796,6664.709317539999574,1829531.430669999914244
3718,48,201,530400,3719,201530400,HARRIS,2,149,28,1307,2781,2064,1313,2594,2632,122,911,1914,1023,20,1942,6388.034636530000171,1585462.093700000084937
3719,48,201,530501,3720,201530501,HARRIS,2,75,50,1080,1941,1460,758,1819,1866,62,755,1357,609,39,1398,4938.535327939999661,1039008.750899999984540
3720,48,201,530502,3721,201530502,HARRIS,2,100,20,1424,2490,1885,964,2366,2390,86,988,1781,807,13,1799,5864.190429580000455,1310711.246270000003278
3721,48,201,530600,3722,201530600,HARRIS,2,615,89,1802,3351,2670,834,2600,2736,576,1284,1979,720,76,2094,9269.854609230000278,3080080.815320000052452
3722,48,201,530701,3723,201530701,HARRIS,2,136,17,766,1557,1139,649,1391,1421,120,519,999,498,11,1019,4199.608286960000441,979676.339675000053830
3723,48,201,530702,3724,201530702,HARRIS,2,265,29,3157,4422,3074,989,4098,4157,250,2157,2769,631,18,2824,5732.718056790000446,1798754.374439999926835
3724,48,201,530800,3725,201530800,HARRIS,2,323,47,1132,4133,3206,2643,3730,3810,257,716,2877,2176,37,2949,9074.658727899999576,4582918.632380000315607
3725,48,201,530900,3726,201530900,HARRIS,2,2423,142,1464,4466,3442,409,1853,2043,1920,1056,1371,322,109,1522,5850.217235879999862,1993612.380630000028759
3726,48,201,531000,3727,201531000,HARRIS,2,2701,299,1058,4296,3241,181,1220,1595,2136,731,841,113,205,1105,6676.959904540000025,2377420.076900000218302
3727,48,201,531100,3728,201531100,HARRIS,2,2143,284,796,3377,2338,107,885,1234,1541,540,591,61,155,797,5479.696169599999848,1645291.585800000000745
3728,48,201,531200,3729,201531200,HARRIS,2,1733,132,1067,3381,2647,373,1424,1648,1457,781,1004,231,103,1190,5705.684702440000365,1940531.935779999941587
3729,48,201,531300,3730,201531300,HARRIS,2,1208,130,2487,4817,3799,977,3413,3609,1082,1825,2550,744,110,2717,7204.861488460000146,1541638.871879999991506
3730,48,201,531400,3731,201531400,HARRIS,2,1000,59,777,2017,1710,150,920,1017,920,604,700,103,53,790,5533.603752600000007,1061240.477470000041649
3731,48,201,531500,3732,201531500,HARRIS,2,1408,76,1129,3050,2519,403,1514,1642,1243,883,1181,305,64,1276,6784.105701620000218,1900657.265459999907762
3732,48,201,531600,3733,201531600,HARRIS,2,1727,98,964,3007,2369,149,1096,1280,1427,697,813,118,69,942,6639.123706680000396,2368218.033280000090599
3733,48,201,531700,3734,201531700,HARRIS,2,2406,298,626,3516,2445,105,712,1110,1752,407,463,63,156,693,5594.252265500000249,1855775.522180000087246
3734,48,201,531800,3735,201531800,HARRIS,2,152,29,839,2709,2002,1708,2516,2557,114,542,1854,1321,24,1888,7862.727552139999716,3244689.706759999971837
3735,48,201,531900,3736,201531900,HARRIS,2,214,65,1837,5152,3789,3019,4817,4938,172,1230,3541,2336,47,3617,9151.075607340000715,4341301.240629999898374
3736,48,201,532003,3737,201532003,HARRIS,2,283,74,1766,3054,2242,953,2678,2771,246,1221,1921,725,60,1996,6354.885983459999807,1019197.001419999985956
3737,48,201,532004,3738,201532004,HARRIS,2,780,61,2975,5195,3740,1402,4319,4415,641,1932,3022,1131,48,3099,6505.288566979999814,1595011.657649999950081
3738,48,201,532101,3739,201532101,HARRIS,2,1043,116,1753,3623,2731,720,2419,2580,909,1214,1682,495,97,1822,4905.786221659999683,1161499.897060000104830
3739,48,201,532102,3740,201532102,HARRIS,2,126,16,2469,3104,1982,508,2951,2978,93,1541,1870,345,11,1889,6144.162721349999629,726407.997872999985702
3740,48,201,532200,3741,201532200,HARRIS,2,353,61,2566,3827,2476,898,3388,3474,318,1550,2103,594,45,2158,5948.006519610000396,1867844.328819999936968
3741,48,201,532301,3742,201532301,HARRIS,2,369,111,1364,2988,2250,1166,2477,2619,329,955,1803,870,93,1921,6475.689611460000378,2336402.485979999881238
3742,48,201,532302,3743,201532302,HARRIS,2,807,166,1423,3476,2631,1071,2460,2669,721,984,1726,753,144,1910,8435.261821640000562,3847009.731730000115931
3743,48,201,532400,3744,201532400,HARRIS,2,1312,279,4177,6963,5206,1148,5263,5651,1189,2946,3705,800,228,4017,13035.542669500000557,4671251.414219999685884
3744,48,201,532502,3745,201532502,HARRIS,2,461,110,4313,5299,3808,420,4679,4838,409,3001,3260,277,99,3399,7905.237663959999736,2691576.018219999969006
3745,48,201,532503,3746,201532503,HARRIS,2,761,1031,2908,5206,3896,526,3376,4445,672,2053,2399,371,797,3224,6071.223717640000359,2114173.742649999912828
3746,48,201,532504,3747,201532504,HARRIS,2,533,640,3189,4716,3485,363,3515,4183,452,2257,2497,264,507,3033,10499.103165200000149,2680642.025030000135303
3747,48,201,532600,3748,201532600,HARRIS,2,395,605,3468,6483,4815,2041,5459,6088,353,2358,3930,1591,514,4462,6960.474414950000210,2667735.970410000067204
3748,48,201,532700,3749,201532700,HARRIS,2,696,110,2224,5087,3813,2074,4219,4391,621,1535,3044,1545,96,3192,6997.369709599999624,2679189.168790000025183
3749,48,201,532800,3750,201532800,HARRIS,2,310,71,1086,1893,1414,427,1497,1583,281,757,1067,321,51,1133,7428.902090270000372,1342437.683429999975488
3750,48,201,532900,3751,201532900,HARRIS,2,235,268,2789,5297,3955,2032,4764,5062,203,1908,3481,1619,248,3752,5579.485919789999571,1700225.571669999975711
3751,48,201,533000,3752,201533000,HARRIS,2,76,51,673,2715,1854,1939,2576,2639,53,399,1750,1360,41,1801,5996.259770300000127,1764932.290100000100210
3752,48,201,533100,3753,201533100,HARRIS,2,490,111,2569,6919,4835,3816,6283,6429,416,1699,4304,2637,82,4419,8938.661969459999455,3495213.699039999861270
3753,48,201,533200,3754,201533200,HARRIS,2,214,66,1804,4148,3021,2060,3822,3934,182,1141,2752,1629,50,2839,8740.423622219999743,2668782.114850000012666
3754,48,201,533301,3755,201533301,HARRIS,2,25,5,752,2763,1973,1990,2729,2738,21,530,1945,1426,3,1952,7164.329480379999950,1897976.255349999992177
3755,48,201,533302,3756,201533302,HARRIS,2,62,52,1046,3514,2615,2350,3364,3452,55,720,2499,1811,40,2560,5993.788366730000234,1631059.865879999939352
3756,48,201,533401,3757,201533401,HARRIS,2,174,96,3358,5268,3888,1665,4990,5094,125,2324,3667,1362,81,3763,5789.435104389999651,2045601.483849999960512
3757,48,201,533402,3758,201533402,HARRIS,2,173,188,3419,6233,4199,2555,5860,6060,135,2153,3907,1804,135,4064,12209.731131700000333,4708153.634899999946356
3758,48,201,533500,3759,201533500,HARRIS,2,336,139,3461,4358,3240,434,3865,4022,299,2455,2806,369,121,2941,8321.007027080000626,2662569.525820000097156
3759,48,201,533600,3760,201533600,HARRIS,2,280,137,3640,5480,3858,1463,5044,5200,250,2430,3482,1078,112,3608,8598.152028570000766,3519690.161869999952614
3760,48,201,533701,3761,201533701,HARRIS,2,193,129,4286,5885,3984,1324,5537,5692,155,2908,3713,843,94,3829,13907.790344299999560,8888008.944259999319911
3761,48,201,533702,3762,201533702,HARRIS,2,167,114,2806,3351,2432,272,3060,3184,138,1999,2191,204,95,2294,4113.355089640000188,979077.476457000011578
3762,48,201,533802,3763,201533802,HARRIS,2,406,896,5150,7281,5095,867,5958,6875,355,3381,3988,636,730,4740,9899.159121729999242,5531462.482859999872744
3763,48,201,533803,3764,201533803,HARRIS,2,301,676,4453,6639,4565,1241,5636,6338,245,2914,3775,887,517,4320,9249.895067580000614,3443109.600629999767989
3764,48,201,533804,3765,201533804,HARRIS,2,102,663,2781,4703,3386,1211,3942,4601,64,1952,2765,833,558,3322,13682.366124700000000,5015301.239409999921918
3765,48,201,533902,3766,201533902,HARRIS,2,166,268,2766,5159,3536,2023,4704,4993,152,1815,3143,1367,222,3384,6638.050241119999555,1929526.947309999959543
3766,48,201,533903,3767,201533903,HARRIS,2,259,412,2828,4586,3355,1119,3905,4327,226,1931,2781,866,340,3129,5996.947589020000123,1665298.639369999989867
3767,48,201,533904,3768,201533904,HARRIS,2,294,226,2900,4543,3348,1135,3993,4249,261,2001,2854,890,208,3087,4814.864324379999744,1220063.379870000062510
3768,48,201,534001,3769,201534001,HARRIS,2,261,669,2221,3493,2515,351,2547,3232,218,1495,1740,265,548,2297,9162.021203480000622,3873432.305019999854267
3769,48,201,534002,3770,201534002,HARRIS,2,388,197,4306,5653,4094,770,5019,5265,341,2993,3556,580,165,3753,8259.731589540000641,3235498.474239999894053
